,plate,well,D12,D3,strain,condition,auc,dgr
98,1,C1,PDZ,pdz1,BY4741,MTX,87.274885,0.10372000000000003
99,1,D1,PDZ,pdz2,BY4741,MTX,47.80645,0.07812000000000019
100,1,E1,PDZ,pdz3,BY4741,MTX,54.57143,0.08707999999999982
101,1,F1,SH3,sh31,BY4741,MTX,95.41188499999998,0.1137999999999999
102,1,G1,SH3,sh32,BY4741,MTX,59.126225,0.08811999999999998
103,1,H1,SH3,sh33,BY4741,MTX,59.466225,0.08731999999999962
104,1,A2,empty,gbd1,BY4741,MTX,9.217649999999999,0.014800000000000146
105,1,B2,empty,gab2,BY4741,MTX,19.77908,0.05148000000000019
106,1,C2,PDZ,pdz1,BY4741,MTX,92.25827000000001,0.11047999999999991
107,1,D2,PDZ,pdz2,BY4741,MTX,52.574335000000005,0.08020000000000005
108,1,E2,PDZ,pdz3,BY4741,MTX,51.349340000000005,0.08479999999999999
109,1,F2,SH3,sh31,BY4741,MTX,94.991,0.11359999999999992
110,1,G2,SH3,sh32,BY4741,MTX,67.48223,0.08431999999999995
111,1,H2,SH3,sh33,BY4741,MTX,58.266455,0.08871999999999991
112,1,A3,empty,gbd1,BY4741,MTX,9.01302,0.013000000000000012
113,1,B3,empty,gab2,BY4741,MTX,25.167425,0.055600000000000094
114,1,C3,PDZ,pdz1,BY4741,MTX,89.986235,0.10720000000000018
115,1,D3,PDZ,pdz2,BY4741,MTX,58.63145500000001,0.08160000000000034
116,1,E3,PDZ,pdz3,BY4741,MTX,55.830445,0.08367999999999975
117,1,F3,SH3,sh31,BY4741,MTX,98.57944499999999,0.1140800000000004
118,1,G3,SH3,sh32,BY4741,MTX,60.24906000000001,0.08787999999999974
119,1,H3,SH3,sh33,BY4741,MTX,64.311745,0.08719999999999972
120,1,A4,empty,gbd1,BY4741,MTX,7.21734,0.010319999999999996
121,1,B4,empty,gab2,BY4741,MTX,12.82169,0.05279999999999996
122,1,C4,PDZ,pdz1,BY4741,MTX,84.906295,0.10743999999999998
123,1,D4,PDZ,pdz2,BY4741,MTX,48.358484999999995,0.0789200000000001
124,1,E4,PDZ,pdz3,BY4741,MTX,49.329105000000006,0.08392
125,1,F4,SH3,sh31,BY4741,MTX,98.69363999999999,0.11447999999999992
126,1,G4,SH3,sh32,BY4741,MTX,64.19744,0.09019999999999984
127,1,H4,SH3,sh33,BY4741,MTX,62.71771,0.09039999999999981
128,1,A5,SH3,sh34,BY4741,MTX,62.543365,0.08431999999999995
129,1,B5,gbd1,GBD,BY4741,MTX,14.584025,0.04048000000000007
130,1,C5,GRB2,gab2,BY4741,MTX,101.07772,0.11296000000000017
131,1,D5,pdz1,PDZ,BY4741,MTX,71.24121500000001,0.08899999999999997
132,1,E5,pdz2,PDZ,BY4741,MTX,13.333454999999999,0.03760000000000008
133,1,F5,pdz3,PDZ,BY4741,MTX,38.07960500000001,0.06320000000000014
134,1,G5,sh31,SH3,BY4741,MTX,95.342145,0.11059999999999981
135,1,H5,sh32,SH3,BY4741,MTX,54.357144999999996,0.08404000000000034
136,1,A6,SH3,sh34,BY4741,MTX,57.109205,0.08579999999999988
137,1,B6,gbd1,GBD,BY4741,MTX,22.697969999999998,0.04251999999999989
138,1,C6,GRB2,gab2,BY4741,MTX,98.22853500000001,0.11140000000000017
139,1,D6,pdz1,PDZ,BY4741,MTX,82.97107499999998,0.08939999999999992
140,1,E6,pdz2,PDZ,BY4741,MTX,17.03359,0.0394000000000001
141,1,F6,pdz3,PDZ,BY4741,MTX,25.695785,0.05488000000000026
142,1,G6,sh31,SH3,BY4741,MTX,97.886165,0.11088000000000076
143,1,H6,sh32,SH3,BY4741,MTX,57.976765,0.08187999999999995
144,1,A7,SH3,sh34,BY4741,MTX,51.891349999999996,0.08604000000000012
145,1,B7,gbd1,GBD,BY4741,MTX,10.850869999999997,0.034720000000000084
146,1,C7,GRB2,gab2,BY4741,MTX,93.643305,0.11172000000000004
147,1,D7,pdz1,PDZ,BY4741,MTX,65.402675,0.08696000000000037
148,1,E7,pdz2,PDZ,BY4741,MTX,12.418434999999999,0.039120000000000044
149,1,F7,pdz3,PDZ,BY4741,MTX,30.567905,0.0591999999999997
150,1,G7,sh31,SH3,BY4741,MTX,97.98021000000001,0.11183999999999994
151,1,H7,sh32,SH3,BY4741,MTX,51.72261,0.07919999999999949
152,1,A8,SH3,sh34,BY4741,MTX,57.55988,0.08848000000000011
153,1,B8,gbd1,GBD,BY4741,MTX,12.893855000000002,0.03727999999999998
154,1,C8,GRB2,gab2,BY4741,MTX,102.69075500000001,0.1180399999999997
155,1,D8,pdz1,PDZ,BY4741,MTX,72.658395,0.09243999999999986
156,1,E8,pdz2,PDZ,BY4741,MTX,10.989070000000002,0.033320000000000016
157,1,F8,pdz3,PDZ,BY4741,MTX,22.2256,0.05692000000000008
158,1,G8,sh31,SH3,BY4741,MTX,94.77147500000001,0.11087999999999987
159,1,H8,sh32,SH3,BY4741,MTX,52.95641,0.08211999999999975
160,1,A9,sh33,SH3,BY4741,MTX,57.027964999999995,0.0878000000000001
