,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
648,pdz1,B10,sh33,BY4741,20,1,7.0,6.013999999999999,0.0040000000000000036
649,pdz3,C10,sh31,BY4741,20,1,7.0,8.557000000000002,0.020000000000000018
650,pdz3,D10,sh33,BY4741,20,1,7.0,8.993500000000001,0.020000000000000018
651,sh31,E10,pdz1,BY4741,20,1,7.0,9.678500000000003,0.020000000000000018
652,sh31,F10,pdz3,BY4741,20,1,7.0,9.6605,0.02400000000000002
653,sh33,G10,pdz1,BY4741,20,1,7.0,10.411,0.02400000000000002
654,sh33,H10,pdz3,BY4741,20,1,7.0,17.225,0.05600000000000005
655,pdz1,A11,sh31,BY4741,20,2,7.0,5.802999999999999,0.008000000000000007
656,pdz1,B11,sh33,BY4741,20,2,7.0,5.221,0.008000000000000007
657,pdz3,C11,sh31,BY4741,20,2,7.0,8.026,0.020000000000000018
658,pdz3,D11,sh33,BY4741,20,2,7.0,7.5185,0.016000000000000014
659,sh31,E11,pdz1,BY4741,20,2,7.0,8.193,0.016000000000000014
660,sh31,F11,pdz3,BY4741,20,2,7.0,10.404499999999999,0.027999999999999803
661,sh33,G11,pdz1,BY4741,20,2,7.0,9.236,0.02400000000000002
662,sh33,H11,pdz3,BY4741,20,2,7.0,12.551000000000002,0.03600000000000003
663,pdz1,A12,sh31,BY4741,20,3,7.0,6.361999999999998,0.008000000000000007
664,pdz1,B12,sh33,BY4741,20,3,7.0,8.190000000000001,0.008000000000000007
665,pdz3,C12,sh31,BY4741,20,3,7.0,8.28,0.016000000000000014
666,pdz3,D12,sh33,BY4741,20,3,7.0,7.7604999999999995,0.016000000000000014
667,sh31,E12,pdz1,BY4741,20,3,7.0,8.5825,0.016000000000000014
668,sh31,F12,pdz3,BY4741,20,3,7.0,10.762999999999998,0.028000000000000025
669,sh33,G12,pdz1,BY4741,20,3,7.0,9.240499999999999,0.02400000000000002
670,sh33,H12,pdz3,BY4741,20,3,7.0,10.596,0.02400000000000002
671,empty,A1,empty,PL0012,0,1,8.0,7.370499999999999,0.008000000000000007
672,empty,B1,empty,PL0013,0,1,8.0,6.870499999999999,0.008000000000000007
673,empty,C1,empty,PL0014,0,1,8.0,7.9254999999999995,0.016000000000000014
674,empty,D1,empty,PL0015,0,1,8.0,7.061999999999999,0.008000000000000007
675,empty,E1,empty,PL0016,0,1,8.0,6.348999999999999,0.008000000000000007
676,empty,F1,empty,PL0001,0,1,8.0,5.882499999999999,0.008000000000000007
677,empty,G1,empty,BY4741,0,1,8.0,7.909499999999999,0.020000000000000018
678,empty,H1,empty,empty,0,1,8.0,0.5499999999999989,0.0040000000000000036
679,empty,A2,empty,PL0012,0,2,8.0,7.340499999999999,0.008000000000000007
680,empty,B2,empty,PL0013,0,2,8.0,6.088499999999999,0.008000000000000007
681,empty,C2,empty,PL0014,0,2,8.0,7.664499999999999,0.008000000000000007
682,empty,D2,empty,PL0015,0,2,8.0,7.5249999999999995,0.008000000000000007
683,empty,E2,empty,PL0016,0,2,8.0,7.154,0.008000000000000007
684,empty,F2,empty,PL0001,0,2,8.0,7.161,0.016000000000000014
685,empty,G2,empty,BY4741,0,2,8.0,7.628499999999999,0.01200000000000001
686,empty,H2,empty,empty,0,2,8.0,0.367499999999999,0.0040000000000000036
687,empty,A3,empty,PL0012,0,3,8.0,7.821999999999999,0.01200000000000001
688,empty,B3,empty,PL0013,0,3,8.0,7.0905000000000005,0.01200000000000001
689,empty,C3,empty,PL0014,0,3,8.0,6.229,0.008000000000000007
690,empty,D3,empty,PL0015,0,3,8.0,6.737000000000002,0.008000000000000007
691,empty,E3,empty,PL0016,0,3,8.0,5.824999999999999,0.008000000000000007
692,empty,F3,empty,PL0001,0,3,8.0,6.342499999999999,0.008000000000000007
693,empty,G3,empty,BY4741,0,3,8.0,6.497999999999999,0.016000000000000014
694,empty,H3,empty,empty,0,3,8.0,0.4614999999999997,0.0040000000000000036
695,empty,A4,empty,PL0012,5,1,8.0,8.501999999999999,0.01200000000000001
696,empty,B4,empty,PL0013,5,1,8.0,7.577500000000001,0.008000000000000007
697,empty,C4,empty,PL0014,5,1,8.0,6.175500000000001,0.008000000000000007
698,empty,D4,empty,PL0015,5,1,8.0,6.630000000000002,0.008000000000000007
699,empty,E4,empty,PL0016,5,1,8.0,6.9350000000000005,0.008000000000000007
700,empty,F4,empty,PL0001,5,1,8.0,6.785499999999999,0.008000000000000007
701,empty,G4,empty,BY4741,5,1,8.0,7.119,0.01200000000000001
702,empty,H4,empty,empty,5,1,8.0,0.3595000000000003,0.0040000000000000036
703,empty,A5,empty,PL0012,5,2,8.0,6.867499999999998,0.008000000000000007
704,empty,B5,empty,PL0013,5,2,8.0,6.095000000000001,0.008000000000000007
705,empty,C5,empty,PL0014,5,2,8.0,6.9405,0.008000000000000007
706,empty,D5,empty,PL0015,5,2,8.0,8.633500000000002,0.01200000000000001
707,empty,E5,empty,PL0016,5,2,8.0,7.483499999999999,0.01200000000000001
708,empty,F5,empty,PL0001,5,2,8.0,5.598999999999999,0.008000000000000007
709,empty,G5,empty,BY4741,5,2,8.0,7.712,0.01200000000000001
710,empty,H5,empty,empty,5,2,8.0,0.39149999999999896,0.0040000000000000036
711,empty,A6,empty,PL0012,5,3,8.0,7.2335,0.008000000000000007
712,empty,B6,empty,PL0013,5,3,8.0,7.1305,0.01200000000000001
713,empty,C6,empty,PL0014,5,3,8.0,6.032,0.008000000000000007
714,empty,D6,empty,PL0015,5,3,8.0,5.671999999999999,0.008000000000000007
715,empty,E6,empty,PL0016,5,3,8.0,5.832000000000001,0.008000000000000007
716,empty,F6,empty,PL0001,5,3,8.0,6.131,0.008000000000000007
717,empty,G6,empty,BY4741,5,3,8.0,5.579999999999999,0.008000000000000007
718,empty,H6,empty,empty,5,3,8.0,0.4419999999999995,0.0040000000000000036
719,empty,A7,empty,PL0012,10,1,8.0,8.494499999999999,0.01200000000000001
720,empty,B7,empty,PL0013,10,1,8.0,6.959999999999999,0.008000000000000007
721,empty,C7,empty,PL0014,10,1,8.0,5.779999999999999,0.008000000000000007
722,empty,D7,empty,PL0015,10,1,8.0,5.494499999999999,0.0040000000000000036
723,empty,E7,empty,PL0016,10,1,8.0,6.461499999999999,0.008000000000000007
724,empty,F7,empty,PL0001,10,1,8.0,5.515,0.0040000000000000036
725,empty,G7,empty,BY4741,10,1,8.0,7.866,0.020000000000000018
726,empty,H7,empty,empty,10,1,8.0,0.26800000000000024,0.0040000000000000036
727,empty,A8,empty,PL0012,10,2,8.0,6.481999999999999,0.008000000000000007
728,empty,B8,empty,PL0013,10,2,8.0,6.14,0.008000000000000007
729,empty,C8,empty,PL0014,10,2,8.0,7.677500000000001,0.008000000000000007
730,empty,D8,empty,PL0015,10,2,8.0,7.524499999999998,0.008000000000000007
731,empty,E8,empty,PL0016,10,2,8.0,7.818999999999999,0.01200000000000001
732,empty,F8,empty,PL0001,10,2,8.0,7.877,0.016000000000000014
733,empty,G8,empty,BY4741,10,2,8.0,7.766499999999998,0.020000000000000018
734,empty,H8,empty,empty,10,2,8.0,0.3365000000000003,0.0040000000000000036
735,empty,A9,empty,PL0012,10,3,8.0,6.6605,0.008000000000000007
736,empty,B9,empty,PL0013,10,3,8.0,7.0575,0.01200000000000001
737,empty,C9,empty,PL0014,10,3,8.0,6.127,0.008000000000000007
738,empty,D9,empty,PL0015,10,3,8.0,6.329,0.008000000000000007
739,empty,E9,empty,PL0016,10,3,8.0,13.623500000000002,0.03600000000000003
740,empty,F9,empty,PL0001,10,3,8.0,6.540000000000001,0.008000000000000007
741,empty,G9,empty,BY4741,10,3,8.0,8.051499999999999,0.02400000000000002
742,empty,H9,empty,empty,10,3,8.0,19.458,0.03600000000000003
743,empty,A10,empty,PL0012,20,1,8.0,7.2414999999999985,0.008000000000000007
744,empty,B10,empty,PL0013,20,1,8.0,6.284999999999998,0.0040000000000000036
745,empty,C10,empty,PL0014,20,1,8.0,5.492499999999999,0.008000000000000007
746,empty,D10,empty,PL0015,20,1,8.0,5.773999999999999,0.008000000000000007
747,empty,E10,empty,PL0016,20,1,8.0,5.918999999999999,0.008000000000000007
748,empty,F10,empty,PL0001,20,1,8.0,8.541999999999998,0.020000000000000018
749,empty,G10,empty,BY4741,20,1,8.0,7.454999999999999,0.016000000000000014
750,empty,H10,empty,empty,20,1,8.0,0.31249999999999933,0.0040000000000000036
751,empty,A11,empty,PL0012,20,2,8.0,6.538499999999999,0.008000000000000007
752,empty,B11,empty,PL0013,20,2,8.0,6.068,0.008000000000000007
753,empty,C11,empty,PL0014,20,2,8.0,6.451499999999999,0.008000000000000007
754,empty,D11,empty,PL0015,20,2,8.0,7.474499999999999,0.008000000000000007
755,empty,E11,empty,PL0016,20,2,8.0,8.0735,0.01200000000000001
756,empty,F11,empty,PL0001,20,2,8.0,6.122000000000001,0.008000000000000007
757,empty,G11,empty,BY4741,20,2,8.0,7.854499999999999,0.01200000000000001
758,empty,H11,empty,empty,20,2,8.0,0.14950000000000013,0.0040000000000000036
759,empty,A12,empty,PL0012,20,3,8.0,7.173000000000002,0.016000000000000014
760,empty,B12,empty,PL0013,20,3,8.0,7.2705,0.01200000000000001
761,empty,C12,empty,PL0014,20,3,8.0,7.1735,0.01200000000000001
762,empty,D12,empty,PL0015,20,3,8.0,6.151999999999999,0.008000000000000007
763,empty,E12,empty,PL0016,20,3,8.0,5.8629999999999995,0.008000000000000007
764,empty,F12,empty,PL0001,20,3,8.0,5.192,0.007999999999999952
765,empty,G12,empty,BY4741,20,3,8.0,5.773,0.01200000000000001
766,empty,H12,empty,empty,20,3,8.0,0.27800000000000025,0.0040000000000000036
