,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
122,pdz3,C4,sh31,PL0013,5,1,2.0,9.3745,0.03599999999999992
123,pdz3,D4,sh33,PL0013,5,1,2.0,5.198,0.01200000000000001
124,sh31,E4,pdz1,PL0013,5,1,2.0,45.097,0.07600000000000007
125,sh31,F4,pdz3,PL0013,5,1,2.0,10.6865,0.040000000000000036
126,sh33,G4,pdz1,PL0013,5,1,2.0,12.089999999999998,0.04400000000000004
127,sh33,H4,pdz3,PL0013,5,1,2.0,14.401000000000002,0.06400000000000006
128,pdz1,A5,sh31,PL0013,5,2,2.0,34.7755,0.06800000000000006
129,pdz1,B5,sh33,PL0013,5,2,2.0,5.5925,0.01200000000000001
130,pdz3,C5,sh31,PL0013,5,2,2.0,12.8705,0.052000000000000046
131,pdz3,D5,sh33,PL0013,5,2,2.0,7.2945,0.020000000000000018
132,sh31,E5,pdz1,PL0013,5,2,2.0,51.877500000000005,0.07600000000000007
133,sh31,F5,pdz3,PL0013,5,2,2.0,12.8225,0.043999999999999595
134,sh33,G5,pdz1,PL0013,5,2,2.0,10.818999999999999,0.03600000000000003
135,sh33,H5,pdz3,PL0013,5,2,2.0,14.168999999999999,0.04800000000000004
136,pdz1,A6,sh31,PL0013,5,3,2.0,27.07,0.06400000000000006
137,pdz1,B6,sh33,PL0013,5,3,2.0,4.5595,0.008000000000000007
138,pdz3,C6,sh31,PL0013,5,3,2.0,10.3865,0.03600000000000003
139,pdz3,D6,sh33,PL0013,5,3,2.0,4.879499999999999,0.008000000000000007
140,sh31,E6,pdz1,PL0013,5,3,2.0,54.17800000000001,0.08000000000000007
141,sh31,F6,pdz3,PL0013,5,3,2.0,10.783000000000001,0.03999999999999959
142,sh33,G6,pdz1,PL0013,5,3,2.0,7.122,0.020000000000000018
143,sh33,H6,pdz3,PL0013,5,3,2.0,13.844000000000001,0.05600000000000005
144,pdz1,A7,sh31,PL0013,10,1,2.0,41.571,0.07600000000000007
145,pdz1,B7,sh33,PL0013,10,1,2.0,7.242,0.016000000000000014
146,pdz3,C7,sh31,PL0013,10,1,2.0,12.421,0.04800000000000004
147,pdz3,D7,sh33,PL0013,10,1,2.0,5.97,0.01200000000000001
148,sh31,E7,pdz1,PL0013,10,1,2.0,61.852999999999994,0.09200000000000008
149,sh31,F7,pdz3,PL0013,10,1,2.0,14.6255,0.06000000000000005
150,sh33,G7,pdz1,PL0013,10,1,2.0,13.081,0.04400000000000004
151,sh33,H7,pdz3,PL0013,10,1,2.0,12.3235,0.04400000000000004
152,pdz1,A8,sh31,PL0013,10,2,2.0,47.649499999999996,0.08000000000000007
153,pdz1,B8,sh33,PL0013,10,2,2.0,6.587999999999999,0.015999999999999903
154,pdz3,C8,sh31,PL0013,10,2,2.0,14.74,0.05600000000000005
155,pdz3,D8,sh33,PL0013,10,2,2.0,5.635,0.01200000000000001
156,sh31,E8,pdz1,PL0013,10,2,2.0,63.2335,0.09200000000000008
157,sh31,F8,pdz3,PL0013,10,2,2.0,18.696000000000005,0.08000000000000007
158,sh33,G8,pdz1,PL0013,10,2,2.0,11.8395,0.04400000000000004
159,sh33,H8,pdz3,PL0013,10,2,2.0,10.86,0.03600000000000003
160,pdz1,A9,sh31,PL0013,10,3,2.0,27.765,0.06800000000000006
161,pdz1,B9,sh33,PL0013,10,3,2.0,6.7015,0.015999999999999903
162,pdz3,C9,sh31,PL0013,10,3,2.0,10.8705,0.03999999999999959
163,pdz3,D9,sh33,PL0013,10,3,2.0,4.447500000000001,0.008000000000000007
164,sh31,E9,pdz1,PL0013,10,3,2.0,62.059999999999995,0.09600000000000009
165,sh31,F9,pdz3,PL0013,10,3,2.0,15.9615,0.06400000000000006
166,sh33,G9,pdz1,PL0013,10,3,2.0,11.918,0.04400000000000004
167,sh33,H9,pdz3,PL0013,10,3,2.0,12.6425,0.04800000000000004
168,pdz1,A10,sh31,PL0013,20,1,2.0,46.818,0.08400000000000007
169,pdz1,B10,sh33,PL0013,20,1,2.0,7.1964999999999995,0.016000000000000014
170,pdz3,C10,sh31,PL0013,20,1,2.0,12.311,0.055999999999999606
171,pdz3,D10,sh33,PL0013,20,1,2.0,8.056000000000001,0.028000000000000025
172,sh31,E10,pdz1,PL0013,20,1,2.0,65.418,0.09600000000000009
173,sh31,F10,pdz3,PL0013,20,1,2.0,17.1945,0.07600000000000007
174,sh33,G10,pdz1,PL0013,20,1,2.0,14.826500000000001,0.06000000000000005
175,sh33,H10,pdz3,PL0013,20,1,2.0,17.086,0.09600000000000009
176,pdz1,A11,sh31,PL0013,20,2,2.0,53.60099999999999,0.09200000000000008
177,pdz1,B11,sh33,PL0013,20,2,2.0,8.873,0.027999999999999803
178,pdz3,C11,sh31,PL0013,20,2,2.0,14.4565,0.07999999999999963
179,pdz3,D11,sh33,PL0013,20,2,2.0,5.809,0.01599999999999996
180,sh31,E11,pdz1,PL0013,20,2,2.0,67.83500000000001,0.10000000000000009
181,sh31,F11,pdz3,PL0013,20,2,2.0,16.8435,0.07600000000000007
182,sh33,G11,pdz1,PL0013,20,2,2.0,11.536,0.04800000000000004
183,sh33,H11,pdz3,PL0013,20,2,2.0,12.665,0.052000000000000046
184,pdz1,A12,sh31,PL0013,20,3,2.0,36.524,0.07599999999999962
185,pdz1,B12,sh33,PL0013,20,3,2.0,7.711499999999999,0.016000000000000014
186,pdz3,C12,sh31,PL0013,20,3,2.0,15.495,0.07200000000000006
187,pdz3,D12,sh33,PL0013,20,3,2.0,5.8765,0.008000000000000007
188,sh31,E12,pdz1,PL0013,20,3,2.0,67.1285,0.09599999999999964
189,sh31,F12,pdz3,PL0013,20,3,2.0,17.0865,0.07199999999999962
190,sh33,G12,pdz1,PL0013,20,3,2.0,12.7265,0.04800000000000004
191,sh33,H12,pdz3,PL0013,20,3,2.0,13.476999999999999,0.052000000000000046
192,pdz1,A1,sh31,PL0014,0,1,3.0,6.192,0.0040000000000000036
193,pdz1,B1,sh33,PL0014,0,1,3.0,6.2829999999999995,0.008000000000000007
194,pdz3,C1,sh31,PL0014,0,1,3.0,7.997,0.016000000000000014
195,pdz3,D1,sh33,PL0014,0,1,3.0,8.468,0.020000000000000018
