plate,well,D12,D3,strain,condition,auc,dgr
1,A9,sh3.3,SH3,BY4741,MTX,57.027965,0.0878000000000001
1,B9,sh3.4,SH3,BY4741,MTX,46.263495,0.0749999999999997
1,C9,GBD,gbd1,BY4741,MTX,36.16182,0.0583199999999999
1,D9,gab2,GRB2,BY4741,MTX,86.76222,0.1064
1,H9,control,control,control,MTX,-0.0322249999999992,0.0025
1,A10,sh3.3,SH3,BY4741,MTX,56.346655,0.0836000000000001
1,B10,sh3.4,SH3,BY4741,MTX,44.47517,0.0757999999999999
1,C10,GBD,gbd1,BY4741,MTX,42.1379,0.0626000000000002
1,D10,gab2,GRB2,BY4741,MTX,91.106255,0.1082
1,H10,control,control,control,MTX,0.0907750000000016,0.0035
1,A11,sh3.3,SH3,BY4741,MTX,62.845685,0.0837200000000005
1,B11,sh3.4,SH3,BY4741,MTX,47.806,0.0745999999999998
1,C11,GBD,gbd1,BY4741,MTX,55.8238,0.0701199999999997
1,D11,gab2,GRB2,BY4741,MTX,94.141455,0.10928
1,H11,control,control,control,MTX,-0.0156500000000009,0.00290000000000001
1,A12,sh3.3,SH3,BY4741,MTX,57.604875,0.0765199999999999
1,B12,sh3.4,SH3,BY4741,MTX,45.690475,0.0705600000000004
1,C12,GBD,gbd1,BY4741,MTX,43.00253,0.0658799999999999
1,D12,gab2,GRB2,BY4741,MTX,94.35421,0.1078
1,E12,empty,empty,BY4741,NA,5.798,0.004
1,F12,empty,empty,BY4741,NA,5.8715,0.004
1,G12,empty,empty,BY4741,NA,6.7575,0.004
1,H12,control,control,control,MTX,-0.00867499999999971,0.00380000000000003
