D12,D3,strain,well,plate,auc,dgr
363,363-1,BY4741,D7,7,75.91149999999999,0.1080000000000001
empty,363-1,BY4741,D4,6,5.1875,0.004
empty,363-4,PL17,A8,1,14.981000000000003,0.05200000000000004
304,363-4,BY4741,H4,4,6.449000000000001,0.008
empty,363-4,BY4741,E4,6,4.113499999999998,0.004
empty,363-4,PL17,A7,1,14.647999999999998,0.04800000000000004
empty,363-4,PL17,A9,1,19.0615,0.05200000000000004
empty,363-4,BY4741,E6,6,4.525,0.008
304,363-4,BY4741,H5,4,6.711,0.004
363,363-4,BY4741,E9,7,71.62650000000001,0.10400000000000008
363,363-4,BY4741,E7,7,74.1365,0.1080000000000001
empty,363-4,BY4741,E5,6,4.7895,0.004
363,363-4,BY4741,E8,7,78.2995,0.1080000000000001
304,363-4,BY4741,H6,4,6.5504999999999995,0.004
363,363-2,BY4741,B1,9,45.6905,0.08799999999999963
363,363-2,BY4741,F9,7,6.377,0.004
empty,363-2,BY4741,F6,6,4.085499999999999,0.01200000000000001
empty,363-2,PL17,B9,1,19.5135,0.06000000000000005
363,363-2,BY4741,F8,7,5.821499999999999,0.004
363,363-2,BY4741,F7,7,5.2115,0.004
304,363-2,BY4741,A9,4,5.215499999999999,0.004
empty,363-2,PL17,B7,1,14.385000000000002,0.05600000000000005
empty,363-2,BY4741,F5,6,4.6145000000000005,0.004
304,363-2,BY4741,A8,4,5.915999999999999,0.004
304,363-2,BY4741,A7,4,6.4655,0.008
363,363-2,BY4741,B3,9,46.04749999999999,0.08399999999999963
empty,363-2,PL17,B8,1,11.853,0.03200000000000003
empty,363-2,BY4741,F4,6,4.8955,0.008
363,363-2,BY4741,B2,9,48.757,0.08400000000000007
empty,366-1,BY4741,E11,5,4.7145,0.004
366,366-1,BY4741,A1,4,86.614,0.1080000000000001
empty,366-1,PL17,A1,1,8.816500000000001,0.01200000000000001
366,366-1,BY4741,A3,4,73.98949999999999,0.10000000000000007
empty,366-1,BY4741,E10,5,3.866999999999999,0.004
empty,366-1,PL17,A3,1,10.8615,0.02000000000000001
empty,366-1,BY4741,E12,5,4.7414999999999985,0.004
empty,366-1,PL17,A2,1,10.379,0.02400000000000002
366,366-1,BY4741,A2,4,86.3005,0.1120000000000001
366,366-2,BY4741,B3,4,65.862,0.09599999999999964
366,366-2,BY4741,B2,4,64.4685,0.09600000000000009
empty,366-2,PL17,B1,1,17.441000000000003,0.06000000000000005
empty,366-2,PL17,B3,1,14.1605,0.03600000000000003
empty,366-2,BY4741,F10,5,4.291,0.004
empty,366-2,BY4741,F11,5,4.440999999999999,0.004
empty,366-2,PL17,B2,1,12.7475,0.03600000000000003
366,366-2,BY4741,B1,4,74.499,0.10400000000000008
empty,366-2,BY4741,F12,5,5.155999999999999,0.004
empty,366-3,PL17,C1,1,26.1435,0.06800000000000006
empty,366-3,PL17,C2,1,25.967,0.06000000000000005
366,366-3,BY4741,C1,4,83.0635,0.1120000000000001
empty,366-3,BY4741,G11,5,5.6610000000000005,0.004
empty,366-3,BY4741,G12,5,5.031999999999999,0.004
366,366-3,BY4741,C3,4,71.4355,0.10000000000000007
empty,366-3,BY4741,G10,5,5.404,0.004
366,366-3,BY4741,C2,4,69.9775,0.10000000000000007
empty,366-3,PL17,C3,1,21.888500000000004,0.05999999999999961
empty,366-4,PL17,D2,1,7.633000000000001,0.008
empty,366-4,BY4741,H10,5,5.3215,0.004
empty,366-4,PL17,D1,1,6.863500000000002,0.008
empty,366-4,PL17,D3,1,7.680500000000001,0.01200000000000001
empty,366-4,BY4741,H12,5,6.2485,0.004
366,366-4,BY4741,D1,4,82.799,0.1120000000000001
366,366-4,BY4741,D2,4,74.769,0.10400000000000008
empty,366-4,BY4741,H11,5,5.9190000000000005,0.004
366,366-4,BY4741,D3,4,71.86099999999999,0.10400000000000008
empty,385-1,BY4741,E2,6,5.7065,0.004
385,385-1,BY4741,G2,4,95.1015,0.11599999999999966
empty,385-1,PL17,A6,1,24.230500000000003,0.06800000000000006
empty,385-1,PL17,A4,1,39.084,0.06400000000000006
empty,385-1,BY4741,E1,6,6.7725,0.008
385,385-1,BY4741,G1,4,91.9575,0.10799999999999964
empty,385-1,PL17,A5,1,24.758000000000003,0.06800000000000006
empty,385-1,BY4741,E3,6,5.2945,0.004
385,385-1,BY4741,G3,4,93.6845,0.1080000000000001
empty,385-3,BY4741,F2,6,5.1465,0.004
385,385-3,BY4741,H1,4,97.1515,0.1160000000000001
empty,385-3,PL17,B4,1,24.2135,0.06799999999999962
385,385-3,BY4741,H3,4,92.498,0.1160000000000001
empty,385-3,PL17,B6,1,34.339999999999996,0.06800000000000006
empty,385-3,BY4741,F3,6,5.2135,0.004
385,385-3,BY4741,H2,4,96.952,0.1160000000000001
empty,385-3,BY4741,F1,6,5.622000000000001,0.004
empty,385-3,PL17,B5,1,24.018,0.07199999999999962
empty,385-2,PL17,B7,8,35.326,0.08799999999999963
385,385-2,BY4741,A6,4,95.1325,0.1200000000000001
385,385-2,BY4741,A5,4,98.48850000000002,0.12400000000000012
empty,385-2,BY4741,G3,6,4.6165,0.004
empty,385-2,PL17,B9,8,38.79200000000001,0.08000000000000007
empty,385-2,BY4741,G1,6,6.346,0.004
empty,385-2,PL17,B8,8,32.7625,0.07600000000000007
385,385-2,BY4741,A4,4,97.0085,0.1200000000000001
empty,385-2,BY4741,G2,6,5.372,0.008
empty,385-4,BY4741,H1,6,6.301,0.004
empty,385-4,BY4741,H2,6,6.2145,0.008
empty,385-4,BY4741,H3,6,6.186999999999999,0.004
385,385-4,BY4741,B5,4,97.3515,0.1160000000000001
empty,385-4,PL17,D4,1,27.1535,0.06400000000000006
empty,385-4,PL17,D5,1,25.1695,0.06000000000000005
385,385-4,BY4741,B4,4,88.6605,0.11599999999999966
empty,385-4,PL17,D6,1,28.0775,0.07200000000000006
385,385-4,BY4741,B6,4,99.665,0.1160000000000001
SH3,sh31,BY4741,A7,8,94.882,0.12399999999999968
SH3,sh31,BY4741,A8,8,88.185,0.1160000000000001
SH3,sh31,BY4741,A9,8,90.9475,0.1160000000000001
