D12,D3,strain,well,plate,auc,dgr
214,214-6,BY4741,H12,7,6.685999999999999,0.008
246,214-6,BY4741,B11,4,5.447,0.008
empty,214-6,PL17,D12,1,31.4,0.07600000000000007
empty,214-6,BY4741,H7,6,7.6955,0.004
214,214-6,BY4741,H10,7,11.5925,0.02800000000000002
214,214-6,BY4741,H11,7,8.076,0.008
246,214-6,BY4741,B12,4,7.006500000000001,0.004
empty,214-6,BY4741,H8,6,5.668500000000002,0.004
empty,214-6,PL17,D11,1,27.633000000000003,0.06400000000000006
empty,214-6,PL17,D10,1,14.9665,0.04800000000000004
empty,214-7,PL17,E12,1,18.904499999999995,0.06000000000000005
214,214-7,BY4741,A3,8,5.6035,0.004
empty,214-7,PL17,E11,1,30.8075,0.07200000000000006
246,214-7,BY4741,C11,4,5.689500000000001,0.004
246,214-7,BY4741,C12,4,7.846500000000001,0.008
214,214-7,BY4741,A2,8,7.1265,0.008
246,214-7,BY4741,C10,4,6.317000000000001,0.008
empty,214-7,PL17,E10,1,18.8525,0.05600000000000005
empty,214-7,BY4741,A12,6,5.8795,0.004
empty,214-7,BY4741,A11,6,5.417999999999999,0.004
214,214-7,BY4741,A1,8,6.190500000000001,0.004
empty,214-7,BY4741,A10,6,7.238,0.004
empty,246-3,PL17,C8,1,26.6335,0.06400000000000006
empty,246-3,BY4741,G5,6,5.4345,0.004
246,246-3,BY4741,G9,7,28.5925,0.06400000000000006
empty,246-3,BY4741,G4,6,5.4025,0.008
246,246-3,BY4741,G7,7,22.0325,0.06800000000000006
empty,246-3,BY4741,G6,6,4.920000000000001,0.008
empty,246-3,PL17,C9,1,29.3075,0.06799999999999962
empty,246-3,PL17,C7,1,30.5195,0.06800000000000006
246,246-3,BY4741,G8,7,33.744,0.08400000000000007
empty,246-4,PL17,D9,1,29.19,0.06400000000000006
363,246-4,BY4741,B8,4,5.987000000000002,0.008
empty,246-4,BY4741,H5,6,5.553,0.004
empty,246-4,BY4741,H6,6,5.248499999999999,0.004
363,246-4,BY4741,B9,4,4.6259999999999994,0.004
empty,246-4,BY4741,H4,6,5.150500000000001,0.004
empty,246-4,PL17,D7,1,26.9285,0.06799999999999962
246,246-4,BY4741,H9,7,35.2915,0.07600000000000007
empty,246-4,PL17,D8,1,28.293999999999997,0.06800000000000006
363,246-4,BY4741,B7,4,5.1240000000000014,0.008
246,246-4,BY4741,H7,7,33.201,0.06800000000000006
246,246-4,BY4741,H8,7,44.246,0.08400000000000007
363,246-5,BY4741,C7,4,5.1085,0.004
363,246-5,BY4741,C8,4,5.872000000000001,0.008
empty,246-5,BY4741,A8,6,7.5,0.004
empty,246-5,BY4741,A9,6,5.620500000000001,0.004
empty,246-5,BY4741,A7,6,6.93,0.004
246,246-5,BY4741,A10,7,28.80400000000001,0.07199999999999962
363,246-5,BY4741,C9,4,4.21,0.004
empty,246-5,PL17,E8,1,22.1305,0.06799999999999962
empty,246-5,PL17,E9,1,17.732000000000003,0.05600000000000005
empty,246-5,PL17,E7,1,19.0605,0.05599999999999983
246,246-5,BY4741,A11,7,25.601,0.06799999999999962
246,246-5,BY4741,A12,7,33.12799999999999,0.08000000000000007
363,246-1,BY4741,D9,4,5.046,0.004
empty,246-1,PL17,F9,1,7.842500000000001,0.008
363,246-1,BY4741,D8,4,6.232,0.0119999999999999
empty,246-1,BY4741,B9,6,4.817500000000001,0.004
363,246-1,BY4741,D7,4,5.2795000000000005,0.008
246,246-1,BY4741,B10,7,59.00850000000001,0.10000000000000007
246,246-1,BY4741,B12,7,60.0245,0.09600000000000009
empty,246-1,BY4741,B8,6,3.9589999999999983,0.004
empty,246-1,PL17,F7,1,4.902499999999999,0.004
246,246-1,BY4741,B11,7,53.992999999999995,0.09600000000000009
empty,246-1,PL17,F8,1,5.410500000000001,0.004
empty,246-1,BY4741,B7,6,4.8965,0.004
250,250-3,BY4741,F3,8,39.804,0.08000000000000007
empty,250-3,BY4741,F12,6,8.001000000000001,0.004
empty,250-3,PL17,B2,2,18.317500000000003,0.05600000000000005
250,250-3,BY4741,F2,8,43.926,0.08400000000000007
empty,250-3,PL17,B3,2,24.583499999999997,0.06400000000000006
131,250-3,BY4741,F11,4,9.2845,0.02000000000000001
131,250-3,BY4741,F10,4,9.729500000000002,0.02400000000000002
250,250-3,BY4741,F1,8,34.444500000000005,0.07999999999999985
empty,250-3,BY4741,F11,6,5.3125,0.004
empty,250-3,PL17,B1,2,22.898,0.07600000000000007
131,250-3,BY4741,F12,4,16.1785,0.04800000000000004
empty,250-3,BY4741,F10,6,2.1555,0.004
empty,250-1,BY4741,G11,6,6.3585,0.004
empty,250-1,PL17,C2,2,19.173499999999997,0.06000000000000005
empty,250-1,BY4741,G10,6,3.8674999999999993,0.008
250,250-1,BY4741,G3,8,45.85049999999999,0.08800000000000008
empty,250-1,PL17,C3,2,22.3855,0.06400000000000006
empty,250-1,BY4741,G12,6,6.6339999999999995,0.004
131,250-1,BY4741,G11,4,14.165,0.05200000000000004
131,250-1,BY4741,G10,4,10.141,0.02800000000000002
empty,250-1,PL17,C1,2,23.665999999999997,0.07200000000000006
250,250-1,BY4741,G1,8,39.817,0.08400000000000007
250,250-1,BY4741,G2,8,47.309999999999995,0.08800000000000008
131,250-1,BY4741,G12,4,14.403,0.05600000000000005
empty,250-4,BY4741,H12,6,6.0075,0.004
250,250-4,BY4741,H2,8,7.127000000000001,0.004
250,250-4,BY4741,H3,8,6.5935000000000015,0.008
empty,250-4,PL17,D2,2,26.1475,0.07599999999999962
empty,250-4,PL17,D3,2,46.416,0.07200000000000006
131,250-4,BY4741,H11,4,15.692000000000002,0.04800000000000004
131,250-4,BY4741,H12,4,20.1265,0.05200000000000004
empty,250-4,BY4741,H10,6,6.324,0.004
empty,250-4,BY4741,H11,6,6.497,0.004
